"","LID","PolyLocation"
"164",10374,"Topock Marsh (ORC North)"
"165",10677,"Beal Lake Inlet (WQ 1)"
"166",10209,"Topock Marsh (at Golden Shores)"
"167",10376,"Topock Marsh (5-mile landing)"
"168",10344,"Topock Marsh (farm ditch inlet)"
"169",10207,"Topock Marsh (Beal Lake Inlet)"
"170",10678,"Topock Marsh 5-Mile (north)"
"171",10347,"Topock Marsh (Channel N of Catfish)"
"172",10378,"Goose Lake"
"173",10195,"Topock Marsh (Firebreak)"
"174",10206,"Topock Marsh (gravel access)"
"175",861,"Topock Marsh Catfish Paradise"
"176",10040,"Needles Marina"
"177",10706,"Topock Marsh (N Dike Canal East)"
"178",10541,"California Side Channel 1"
"179",10263,"Imperial Slackwaters CA"
"180",361,"Imperial Dam Impoundment"
"181",10715,"Senator Wash Area (river)"
"182",10540,"Senator Wash Reservoir"
"183",10402,"Squaw Lake"
"184",10167,"Face Lake (downstream)"
"185",10166,"Face Lake (river)"
"186",10111,"Face Lake Lower (CA)"
"187",10262,"Senator Wash Area Slackwaters AZ"
"188",10539,"Face Lake Lower (AZ)"
"189",10538,"Face Lake"
"190",10710,"YMCA"
"191",10544,"Senator Wash Area Slackwaters CA"
"192",10542,"Imperial Slackwaters AZ"
"193",10261,"Imperial Dam"
"194",10474,"Palo Verde Eco Reserve (river)"
"195",10543,"Arizona Side Channel 2"
"196",1039,"Blue Water Lagoon"
"197",10126,"Ferguson Lake (river)"
"198",10525,"Imperial Ponds (river)"
"199",1048,"IPCA (Pond 6)"
"200",1045,"IPCA (Pond 3)"
"201",10106,"Ferguson Lake"
"202",10131,"Fence Lake (river)"
"203",1047,"IPCA (Pond 5)"
"204",1044,"IPCA (Pond 2)"
"205",10132,"Martinez Lake (river)"
"206",1046,"IPCA (Pond 4)"
"207",10102,"Martinez Lake"
"208",10536,"Headquarters Lakes"
"209",1043,"IPCA (Pond 1)"
"210",10442,"South Palo Verde Dam channel"
"211",10494,"Wilson Bridge"
"212",10495,"CRIT Drainage Canal"
"213",10492,"I95 Bridge"
"214",10365,"I-40 Bridge (downstream)"
"215",371,"Moovalya Lake (river)"
"216",10487,"Red Rock CG"
"217",10489,"Arizona Shores"
"218",1,"Moovalya Lake marsh"
"219",10490,"River Shore Resort"
"220",1024,"Deer Island"
"221",10486,"Parker Dam Camp (river)"
"222",10653,"Parker Dam (upstream)"
"223",10654,"Parker Dam (downstream)"
"224",10108,"Fishers Landing"
"225",10088,"BWRNWR CAP intake"
"226",697,"Buckskin Mountain Park"
"227",703,"River Island State Park"
"228",831,"Bill Williams Kayak Launch"
"229",10089,"BWRNWR (peninsula)"
"230",751,"Parker Dam Pond"
"231",10087,"Heron Island (BWRNWR)"
"232",10080,"BWRNWR (mansion coves)"
"233",10216,"Office Cove"
"234",10082,"BWRNWR peripheral channel"
"235",10652,"Question Mark Cove"
"236",314,"Bulkhead Cove"
"237",10648,"Hi Island"
"238",10647,"Bass Isles"
"239",10646,"Little Foxes Cove"
"240",10667,"Gnat Keyes"
"241",10666,"Rocky Landing"
"242",10656,"Black Meadow Landing"
"243",10669,"Gene Wash Reservoir"
"244",10673,"Whitsett Pumps (north of)"
"245",10624,"Whitsett Pumping Plant"
"246",10645,"Satellite Cove"
"247",335,"Takeoff Point"
"248",10694,"Bulkhead Cove (lakeside)"
"249",10649,"Bass Bay"
"250",10651,"Powerline Coves"
"251",10657,"Gene Wash"
"252",10086,"BWRNWR buoys"
"253",795,"Cattail Cove Boat Ramp"
"254",10650,"Larned Landing"
"255",10668,"Havasu Springs"
"256",10084,"BWRNWR north shore"
"257",310,"Bill Williams River Delta"
"258",10377,"Topock Marsh (North of FB)"
"259",10625,"Site Six"
"260",10626,"Chalk Cliffs Coves"
"261",10627,"Ski Coves"
"262",379,"Pittsburgh Point Cove"
"263",10638,"Partners Point (Basin)"
"264",10637,"California Bays"
"265",330,"Partner's Point"
"266",10658,"Grass Island"
"267",912,"Havasupai Wash"
"268",10661,"Neptune Wash"
"269",10497,"No Name Lake"
"270",10622,"Windsor Basin (south)"
"271",10693,"Havasu Landing (south of)"
"272",10663,"The Point (south shore)"
"273",10628,"Havasu Marina"
"274",10629,"Body Beach"
"275",10662,"The Point (north shore)"
"276",10621,"Windsor Basin"
"277",10493,"Big River Park"
"278",10664,"Pilot Rock"
"279",10660,"Havasu Palms"
"280",10634,"Friendly Island"
"281",10640,"Steamboat Cove"
"282",10635,"Copper Canyon"
"283",10630,"Wren Cove"
"284",10632,"Solitude Cove"
"285",10636,"Copper Wash Cove"
"286",10639,"The Narrows"
"287",315,"Campbell Cove"
"288",10631,"Teal Cove"
"289",10491,"Riverview Trailer Park"
"290",10671,"Black Meadow (north of)"
"291",10672,"Twin Coves"
"292",10641,"Jackass Cove"
"293",10643,"Red Rock Cove"
"294",10616,"Castle Rock Complex"
"295",10659,"Whipple Bay"
"296",10665,"No Mans Land"
"297",10488,"La Paz County Park"
"298",10680,"3 Dunes Cove"
"299",459,"Standard Wash Cove"
"300",10655,"Bluegill Island"
"301",10670,"Black Metal Wash"
"302",10623,"London Bridge Canal"
"303",10642,"Sand Isle"
"304",10017,"Sand Point Marina"
"305",10083,"Bill Williams Bridge"
"306",10618,"Havasu Landing (north of)"
"307",10620,"Windsor Basin (north)"
"308",849,"Windsor Beach State Park"
"309",398,"Contact Point"
"310",10160,"Catfish Bay (upstream)"
"311",10074,"Clear Bay (river downstream)"
"312",10709,"Catfish Bay (south of)"
"313",10685,"Catfish Bay (coves upstream)"
"314",802,"Clear Bay Cove (coves downstream)"
"315",317,"Catfish Bay Cove"
"316",10619,"Mesquite Bay"
"317",316,"Castle Rock Cove"
"318",911,"Two Lobe"
"319",918,"Rearing Cove"
"320",10479,"Castle Rock (across from)"
"321",10038,"Clear Bay"
"322",10615,"Chemehuevi Backwater"
"323",10213,"Delta (inflow into Havasu)"
"324",10320,"Blankenship AZ"
"325",10169,"Castle Rock (river)"
"326",10072,"Clear Bay (river)"
"327",10170,"Castle Rock Inlet"
"328",10644,"Burro Bay"
"329",10633,"Balanced Rock Cove"
"330",10159,"Rearing Cove (upstream)"
"331",10617,"Havasu Landing"
"332",10178,"Rearing Cove (river)"
"333",10463,"Palm Tree Point Cove"
"334",10612,"Mohave Rock CA"
"335",10613,"Blankenship (downstream)"
"336",10076,"Blankenship Bend (river)"
"337",10033,"Mohave Rock (river)"
"338",10215,"Picture Rock"
"339",10050,"Trampas Cove"
